name,smiles,inchi,mass,Ethyl,Aldehydes,Carbonyl,Peroxide,Pan
EPXMEDCO3H,CC1(OC1(CC)C=O)C(=O)OO,"InChI=1S/C7H10O5/c1-3-7(4-8)6(2,12-7)5(9)11-10/h4,10H,3H2,1-2H3",174.1513,6,1,1,1,0
EPXMEDCO2H,CCC1(C=O)OC1(C)C(=O)O,"InChI=1S/C7H10O4/c1-3-7(4-8)6(2,11-7)5(9)10/h4H,3H2,1-2H3,(H,9,10)",158.1519,6,1,1,0,0
OET1O,CCc1c(C)cccc1[O],"InChI=1S/C9H11O/c1-3-8-7(2)5-4-6-9(8)10/h4-6H,3H2,1-2H3",135.1830,9,0,0,0,0
OETOLO2,CCC12OOC(C2O)C(O)(O[O])C=C1C,"InChI=1S/C9H13O6/c1-3-8-5(2)4-9(11,14-12)7(6(8)10)13-15-8/h4,6-7,10-11H,3H2,1-2H3",217.1959,8,0,0,3,0
NOETOLO2,CCC1=C(C)C2OOC(C2ON(=O)=O)C1(O)O[O],"InChI=1S/C9H12NO8/c1-3-5-4(2)6-7(15-10(12)13)8(17-16-6)9(5,11)18-14/h6-8,11H,3H2,1-2H3",262.1935,8,0,0,3,0
METLPOXMUC,CC1(OC1C=CC(=O)CC)C=O,"InChI=1S/C9H12O3/c1-3-7(11)4-5-8-9(2,6-10)12-8/h4-6,8H,3H2,1-2H3",168.1898,7,1,1,0,0
OETOLO,CCC12OOC(C2O)C([O])(O)C=C1C,"InChI=1S/C9H13O5/c1-3-8-5(2)4-9(11,12)7(6(8)10)13-14-8/h4,6-7,10-11H,3H2,1-2H3",201.1965,8,0,0,2,0
OETOLOOH,CCC12OOC(C2O)C(O)(OO)C=C1C,"InChI=1S/C9H14O6/c1-3-8-5(2)4-9(11,14-12)7(6(8)10)13-15-8/h4,6-7,10-12H,3H2,1-2H3",218.2039,8,0,0,3,0
OETOLOH,CCC12OOC(C2O)C(O)(O)C=C1C,"InChI=1S/C9H14O5/c1-3-8-5(2)4-9(11,12)7(6(8)10)13-14-8/h4,6-7,10-12H,3H2,1-2H3",202.2045,8,0,0,2,0
NOETOLO,CCC1=C(C)C2OOC(C2ON(=O)=O)C1(O)[O],"InChI=1S/C9H12NO7/c1-3-5-4(2)6-7(15-10(13)14)8(17-16-6)9(5,11)12/h6-8,11H,3H2,1-2H3",246.1941,8,0,0,2,0
NOETOLOOH,CCC1=C(C)C2OOC(C2ON(=O)=O)C1(O)OO,"InChI=1S/C9H13NO8/c1-3-5-4(2)6-7(15-10(12)13)8(17-16-6)9(5,11)18-14/h6-8,11,14H,3H2,1-2H3",263.2014,8,0,0,3,0
NOETOLOH,CCC1=C(C)C2OOC(C2ON(=O)=O)C1(O)O,"InChI=1S/C9H13NO7/c1-3-5-4(2)6-7(15-10(13)14)8(17-16-6)9(5,11)12/h6-8,11-12H,3H2,1-2H3",247.2020,8,0,0,2,0
